不重复的单词数：9351
文档中出现的单词：THE,其出现次数为:6982;
文档中出现的单词：and,其出现次数为:4301;
文档中出现的单词：of,其出现次数为:3418;
文档中出现的单词：a,其出现次数为:3120;
文档中出现的单词：To,其出现次数为:3000;
文档中出现的单词：he,其出现次数为:2872;
文档中出现的单词：In,其出现次数为:2369;
文档中出现的单词：was,其出现次数为:2260;
文档中出现的单词：his,其出现次数为:1866;
文档中出现的单词：had,其出现次数为:1617;
文档中出现的单词：she,其出现次数为:1499;
文档中出现的单词：it,其出现次数为:1433;
文档中出现的单词：her,其出现次数为:1372;
文档中出现的单词：that,其出现次数为:1356;
文档中出现的单词：with,其出现次数为:1268;
文档中出现的单词：not,其出现次数为:1070;
文档中出现的单词：But,其出现次数为:975;
文档中出现的单词：at,其出现次数为:968;
文档中出现的单词：as,其出现次数为:858;
文档中出现的单词：for,其出现次数为:844;
文档中出现的单词：on,其出现次数为:827;
文档中出现的单词：s,其出现次数为:787;
文档中出现的单词：I,其出现次数为:746;
文档中出现的单词：Peter,其出现次数为:743;
文档中出现的单词：you,其出现次数为:729;
文档中出现的单词：him,其出现次数为:661;
文档中出现的单词：there,其出现次数为:624;
文档中出现的单词：all,其出现次数为:548;
文档中出现的单词：out,其出现次数为:542;
文档中出现的单词：is,其出现次数为:511;
文档中出现的单词：from,其出现次数为:495;
文档中出现的单词：up,其出现次数为:482;
文档中出现的单词：they,其出现次数为:482;
文档中出现的单词：then,其出现次数为:473;
文档中出现的单词：old,其出现次数为:457;
文档中出现的单词：so,其出现次数为:454;
文档中出现的单词：Stellan,其出现次数为:453;
文档中出现的单词：if,其出现次数为:442;
文档中出现的单词：be,其出现次数为:439;
文档中出现的单词：this,其出现次数为:437;
文档中出现的单词：Laura,其出现次数为:436;
文档中出现的单词：have,其出现次数为:423;
文档中出现的单词：did,其出现次数为:406;
文档中出现的单词：an,其出现次数为:400;
文档中出现的单词：No,其出现次数为:395;
文档中出现的单词：were,其出现次数为:390;
文档中出现的单词：now,其出现次数为:388;
文档中出现的单词：by,其出现次数为:374;
文档中出现的单词：Hedvig,其出现次数为:371;
文档中出现的单词：when,其出现次数为:360;
文档中出现的单词：into,其出现次数为:342;
文档中出现的单词：been,其出现次数为:324;
文档中出现的单词：which,其出现次数为:322;
文档中出现的单词：Little,其出现次数为:320;
文档中出现的单词：like,其出现次数为:311;
文档中出现的单词：Herman,其出现次数为:308;
文档中出现的单词：ONE,其出现次数为:303;
文档中出现的单词：would,其出现次数为:298;
文档中出现的单词：down,其出现次数为:292;
文档中出现的单词：who,其出现次数为:287;
文档中出现的单词：over,其出现次数为:279;
文档中出现的单词：could,其出现次数为:278;
文档中出现的单词：about,其出现次数为:275;
文档中出现的单词：what,其出现次数为:254;
文档中出现的单词：more,其出现次数为:249;
文档中出现的单词：t,其出现次数为:244;
文档中出现的单词：Tord,其出现次数为:236;
文档中出现的单词：Only,其出现次数为:236;
文档中出现的单词：thought,其出现次数为:235;
文档中出现的单词：felt,其出现次数为:231;
文档中出现的单词：their,其出现次数为:228;
文档中出现的单词：time,其出现次数为:226;
文档中出现的单词：said,其出现次数为:218;
文档中出现的单词：After,其出现次数为:210;
文档中出现的单词：still,其出现次数为:207;
文档中出现的单词：looked,其出现次数为:207;
文档中出现的单词：are,其出现次数为:206;
文档中出现的单词：seemed,其出现次数为:200;
文档中出现的单词：something,其出现次数为:197;
文档中出现的单词：Yes,其出现次数为:193;
文档中出现的单词：came,其出现次数为:193;
文档中出现的单词：them,其出现次数为:192;
文档中出现的单词：suddenly,其出现次数为:188;
文档中出现的单词：Percy,其出现次数为:184;
文档中出现的单词：how,其出现次数为:183;
文档中出现的单词：last,其出现次数为:177;
文档中出现的单词：again,其出现次数为:176;
文档中出现的单词：will,其出现次数为:173;
文档中出现的单词：sat,其出现次数为:173;
文档中出现的单词：eyes,其出现次数为:173;
文档中出现的单词：himself,其出现次数为:169;
文档中出现的单词：long,其出现次数为:167;
文档中出现的单词：some,其出现次数为:165;
文档中出现的单词：away,其出现次数为:165;
